instructor,course_title,course_id,professor_score
"Lee, Lee-Peng",Diff Eq and Lin Alg for Engr,60020,-0.4
"Lee, Lee-Peng",Diff Eq and Lin Alg for Engr,60189,1.8
"Dummit, Evan",Probability and Statistics,60503,0.8
"Dummit, Evan",Probability and Statistics,60228,3.1
"Suciu, Alexandru",Group Theory,60442,-2.1
"Glasscock, Daniel",Number Theory 1,60811,5.6
"Wu, Shu-Shih",Combinatorial Mathematics,60140,1.2
"Tsvelikhovskiy, Boris",Statistics  Stochastic Procss,60262,-7.2
"Bade, Nathaniel",Intro to Math Methods  Modls,61356,4.1
"Abedi, Mehdi",Fluid Mechanics,60017,-3.1
"Wan, Kai-tak",Fluid Mechanics,60149,-7.2
"Abedi, Mehdi",Fluid Mechanics,60248,0.7
"Tjiptowidjojo, Yustianto",Mechanical Engineering Design,60007,-4.9
"Tjiptowidjojo, Yustianto",Mechanical Engineering Design,60150,-3.0
"Minus, Marilyn",MechBehavior  ProcessMaterial,61253,7.9
"Dasgupta, Siben",Mechatronic Systems,61247,-20.1
"Nayeb Hashemi, Hamid",Advanced Mechanics of Material,60540,-0.7
"Jin, Xuemin",Math Mthods for Mech Engneer 1,60443,1.2
"Gouldstone, Andrew",Capstone Design 1,60006,3.0
"Smyser, Bridget",Capstone Design 1,60006,3.5
"Nelson, Carl",Law for Managers/Entrepreneurs,60219,-9.0
"Moy, Kenneth",Business Law  Prof Ethics,60114,5.7
"Wertheim, Edward",Negotiations,60126,1.9
"Spencer, Denise",Business Statistics,60181,2.9
"Nasralah, Tareq",Information Analysis,60804,-2.9
"Dedeke, Adenekan",Management Information Systems,60034,-0.2
"Dedeke, Adenekan",Management Information Systems,60033,-2.1
"Ashley, Katherine",Modeling Business Analytics,61246,7.2
"Tarasewich, Peter",Info Visual/Dashboard Business,61461,1.3
"Andersen, Richard",Introduction to Marketing,60032,-8.1
"Andersen, Richard",Introduction to Marketing,60031,-7.4
"Mathras Fay, Daniele",Marketing Research,60543,4.2
"Keeney, Ashley",Consumer Behavior,61146,3.0
"Rivas, Ronald",International Marketing,61260,-1.1
"Andersen, Richard",New Product Development,60546,-0.8
"Ozery, Shamir",Digital Marketing,61147,-5.4
"Lassk, Felicia",Customer-Centric Rsrch Methods,60549,0.5
"Clark, Bruce",Cust Value  the Enterprise,61460,4.9
"Ahnert, Laurel",Film 101,61110,-0.2
"Mulliken, Seth",Intro to Film Production,61111,-57.6
"Mulliken, Seth",Global Media,60320,-12.5
"Ahnert, Laurel",American Film and Culture,61112,4.4
"Doran, Molly",Beethoven,60184,-5.1
